model,step,domain,key,partition,eval_key,measure,value
EleutherAI/pythia-160m,0,agnews,halfA,null,halfB,segregation_between_mean,0.05704700642034897
EleutherAI/pythia-160m,0,agnews,halfA,null,halfB,segregation_ratio,1.021878674591725
EleutherAI/pythia-160m,0,agnews,halfA,null,halfB,segregation_modularity,0.00026335838665960266
EleutherAI/pythia-160m,0,agnews,halfB,real,halfB,segregation_within_mean,0.10581333859438047
EleutherAI/pythia-160m,0,agnews,halfB,real,halfB,segregation_between_mean,0.056389034475915596
EleutherAI/pythia-160m,0,agnews,halfB,real,halfB,segregation_ratio,1.876487859347451
EleutherAI/pythia-160m,0,agnews,halfB,real,halfB,segregation_modularity,0.012335033764547422
EleutherAI/pythia-160m,0,agnews,halfB,real,halfA,segregation_within_mean,0.10578305306316059
EleutherAI/pythia-160m,0,agnews,halfB,real,halfA,segregation_between_mean,0.05641479191416356
EleutherAI/pythia-160m,0,agnews,halfB,real,halfA,segregation_ratio,1.875094270029605
EleutherAI/pythia-160m,0,agnews,halfB,real,halfA,segregation_modularity,0.012311126482424918
EleutherAI/pythia-160m,0,agnews,halfB,null,halfB,segregation_within_mean,0.058477068741513975
EleutherAI/pythia-160m,0,agnews,halfB,null,halfB,segregation_between_mean,0.05704503028631383
EleutherAI/pythia-160m,0,agnews,halfB,null,halfB,segregation_ratio,1.025103649660849
EleutherAI/pythia-160m,0,agnews,halfB,null,halfB,segregation_modularity,0.0002671481127876513
EleutherAI/pythia-160m,0,agnews,halfB,null,halfA,segregation_within_mean,0.058496685705099846
EleutherAI/pythia-160m,0,agnews,halfB,null,halfA,segregation_between_mean,0.057070083956309504
EleutherAI/pythia-160m,0,agnews,halfB,null,halfA,segregation_ratio,1.0249973655178515
EleutherAI/pythia-160m,0,agnews,halfB,null,halfA,segregation_modularity,0.00026586595900113664
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,act_firing_rate_median,0.5002009073893229
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,act_frac_dead,0.0
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,act_frac_dense,0.5003526475694444
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,act_firing_rate_gini,0.25106501986005325
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,act_firing_rate_median,0.49998982747395837
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,act_frac_dead,0.0
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,act_frac_dense,0.5
EleutherAI/pythia-160m,0,tldr17,halfB,-,halfB,act_firing_rate_gini,0.2511701198593521
EleutherAI/pythia-160m,0,tldr17,-,-,-,lm_loss,11.032909212231578
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,dim_participation_ratio,135.84905330779628
EleutherAI/pythia-160m,0,tldr17,halfA,-,halfA,dim_top1_share,0.03477535685244939
