step,domain,key,tree,measure,value
1000,tldr17,halfB,real,selectivity_prefers_continuation,0.14
1000,tldr17,halfB,real,selectivity_prefers_other,0.15
1000,tldr17,halfB,null,selectivity_coherence_median,0.1891335794264224
1000,tldr17,halfB,null,selectivity_frac_coherent,0.0
1000,tldr17,halfB,null,selectivity_prefers_whitespace,0.02
1000,tldr17,halfB,null,selectivity_prefers_punctuation,0.01
1000,tldr17,halfB,null,selectivity_prefers_digit,0.13
1000,tldr17,halfB,null,selectivity_prefers_function_word,0.09
1000,tldr17,halfB,null,selectivity_prefers_content_word,0.54
1000,tldr17,halfB,null,selectivity_prefers_continuation,0.19
1000,tldr17,halfB,null,selectivity_prefers_other,0.02
1000,wikitext,halfA,real,selectivity_coherence_median,0.4769946580312887
1000,wikitext,halfA,real,selectivity_frac_coherent,0.46
1000,wikitext,halfA,real,selectivity_prefers_whitespace,0.04
1000,wikitext,halfA,real,selectivity_prefers_punctuation,0.22
1000,wikitext,halfA,real,selectivity_prefers_digit,0.06
1000,wikitext,halfA,real,selectivity_prefers_function_word,0.2
1000,wikitext,halfA,real,selectivity_prefers_content_word,0.32
1000,wikitext,halfA,real,selectivity_prefers_continuation,0.13
1000,wikitext,halfA,real,selectivity_prefers_other,0.03
1000,wikitext,halfA,null,selectivity_coherence_median,0.1889891547216833
1000,wikitext,halfA,null,selectivity_frac_coherent,0.0
1000,wikitext,halfA,null,selectivity_prefers_whitespace,0.0
1000,wikitext,halfA,null,selectivity_prefers_punctuation,0.06
1000,wikitext,halfA,null,selectivity_prefers_digit,0.07
1000,wikitext,halfA,null,selectivity_prefers_function_word,0.08
1000,wikitext,halfA,null,selectivity_prefers_content_word,0.55
1000,wikitext,halfA,null,selectivity_prefers_continuation,0.04
1000,wikitext,halfA,null,selectivity_prefers_other,0.2
1000,wikitext,halfB,real,selectivity_coherence_median,0.46956724741395883
1000,wikitext,halfB,real,selectivity_frac_coherent,0.42
1000,wikitext,halfB,real,selectivity_prefers_whitespace,0.03
1000,wikitext,halfB,real,selectivity_prefers_punctuation,0.2
1000,wikitext,halfB,real,selectivity_prefers_digit,0.06
1000,wikitext,halfB,real,selectivity_prefers_function_word,0.21
1000,wikitext,halfB,real,selectivity_prefers_content_word,0.3
1000,wikitext,halfB,real,selectivity_prefers_continuation,0.12
1000,wikitext,halfB,real,selectivity_prefers_other,0.08
1000,wikitext,halfB,null,selectivity_coherence_median,0.19782091558962722
1000,wikitext,halfB,null,selectivity_frac_coherent,0.0
1000,wikitext,halfB,null,selectivity_prefers_whitespace,0.0
1000,wikitext,halfB,null,selectivity_prefers_punctuation,0.04
1000,wikitext,halfB,null,selectivity_prefers_digit,0.12
1000,wikitext,halfB,null,selectivity_prefers_function_word,0.09
1000,wikitext,halfB,null,selectivity_prefers_content_word,0.57
1000,wikitext,halfB,null,selectivity_prefers_continuation,0.02
1000,wikitext,halfB,null,selectivity_prefers_other,0.16
143000,agnews,halfA,real,selectivity_coherence_median,0.5202466986552381
143000,agnews,halfA,real,selectivity_frac_coherent,0.56
143000,agnews,halfA,real,selectivity_prefers_whitespace,0.03
143000,agnews,halfA,real,selectivity_prefers_punctuation,0.14
143000,agnews,halfA,real,selectivity_prefers_digit,0.13
143000,agnews,halfA,real,selectivity_prefers_function_word,0.15
143000,agnews,halfA,real,selectivity_prefers_content_word,0.27
143000,agnews,halfA,real,selectivity_prefers_continuation,0.22
143000,agnews,halfA,real,selectivity_prefers_other,0.06
143000,agnews,halfA,null,selectivity_coherence_median,0.23825511532802598
143000,agnews,halfA,null,selectivity_frac_coherent,0.01
143000,agnews,halfA,null,selectivity_prefers_whitespace,0.01
143000,agnews,halfA,null,selectivity_prefers_punctuation,0.12
143000,agnews,halfA,null,selectivity_prefers_digit,0.17
143000,agnews,halfA,null,selectivity_prefers_function_word,0.04
143000,agnews,halfA,null,selectivity_prefers_content_word,0.24
143000,agnews,halfA,null,selectivity_prefers_continuation,0.35
143000,agnews,halfA,null,selectivity_prefers_other,0.07
143000,agnews,halfB,real,selectivity_coherence_median,0.5216858934822928
143000,agnews,halfB,real,selectivity_frac_coherent,0.54
143000,agnews,halfB,real,selectivity_prefers_whitespace,0.04
143000,agnews,halfB,real,selectivity_prefers_punctuation,0.14
143000,agnews,halfB,real,selectivity_prefers_digit,0.13
143000,agnews,halfB,real,selectivity_prefers_function_word,0.16
