model,domain,key,tree,network,step,best_jaccard,birth_step
pythia-70m,wikitext,halfA,real,23,64000,0.28502415458937197,143000
pythia-70m,wikitext,halfA,real,23,143000,1.0,143000
pythia-70m,wikitext,halfA,real,24,0,0.017482517482517484,143000
pythia-70m,wikitext,halfA,real,24,1,0.017482517482517484,143000
pythia-70m,wikitext,halfA,real,24,4,0.017482517482517484,143000
pythia-70m,wikitext,halfA,real,24,16,0.019543973941368076,143000
pythia-70m,wikitext,halfA,real,24,64,0.027777777777777776,143000
pythia-70m,wikitext,halfA,real,24,256,0.03680981595092025,143000
pythia-70m,wikitext,halfA,real,24,1000,0.030726256983240222,143000
pythia-70m,wikitext,halfA,real,24,4000,0.045584045584045586,143000
pythia-70m,wikitext,halfA,real,24,16000,0.09610389610389611,143000
pythia-70m,wikitext,halfA,real,24,64000,0.1762917933130699,143000
pythia-70m,wikitext,halfA,real,24,143000,1.0,143000
pythia-70m,wikitext,halfA,real,25,0,0.02092050209205021,143000
pythia-70m,wikitext,halfA,real,25,1,0.02092050209205021,143000
pythia-70m,wikitext,halfA,real,25,4,0.02032520325203252,143000
pythia-70m,wikitext,halfA,real,25,16,0.02403846153846154,143000
pythia-70m,wikitext,halfA,real,25,64,0.03625377643504532,143000
pythia-70m,wikitext,halfA,real,25,256,0.026200873362445413,143000
pythia-70m,wikitext,halfA,real,25,1000,0.03765690376569038,143000
pythia-70m,wikitext,halfA,real,25,4000,0.06965174129353234,143000
pythia-70m,wikitext,halfA,real,25,16000,0.12903225806451613,143000
pythia-70m,wikitext,halfA,real,25,64000,0.2328042328042328,143000
pythia-70m,wikitext,halfA,real,25,143000,1.0,143000
pythia-70m,wikitext,halfA,real,26,0,0.02252252252252252,143000
pythia-70m,wikitext,halfA,real,26,1,0.02252252252252252,143000
pythia-70m,wikitext,halfA,real,26,4,0.022935779816513763,143000
pythia-70m,wikitext,halfA,real,26,16,0.023696682464454975,143000
pythia-70m,wikitext,halfA,real,26,64,0.022222222222222223,143000
pythia-70m,wikitext,halfA,real,26,256,0.025,143000
pythia-70m,wikitext,halfA,real,26,1000,0.02586206896551724,143000
pythia-70m,wikitext,halfA,real,26,4000,0.04950495049504951,143000
pythia-70m,wikitext,halfA,real,26,16000,0.06324110671936758,143000
pythia-70m,wikitext,halfA,real,26,64000,0.11059907834101383,143000
pythia-70m,wikitext,halfA,real,26,143000,1.0,143000
pythia-70m,wikitext,halfA,real,27,0,0.016666666666666666,143000
pythia-70m,wikitext,halfA,real,27,1,0.016666666666666666,143000
